word	frequency	num_vowels	syllables
спие	8	2	спи,е
сонцето	8	3	сон,це,то
куќи	8	2	ку,ќи
соба	8	2	со,ба
мртов	8	1
Калиопа	8	4	Ка,ли,о,па
старецот	8	3	ста,ре,цот
Македонија	8	5	Ма,ке,до,ни,ја
штрк	7	0
рекол	7	2	ре,кол
зграда	7	2	згра,да
срце	7	1
зборува	7	3	збо,ру,ва
слуша	7	2	слу,ша
оди	7	2	о,ди
ли	7	1
биде	7	2	би,де
невесто	7	3	не,вес,то
повеќе	7	3	по,веќе
Стојанке	7	3	Сто,јан,ке
тогаш	7	2	то,гаш
вратот	7	2	вра,тот
беше	7	2	бе,ше
година	7	3	го,ди,на
видам	7	2	ви,дам
Зошто	7	2	Зо,што
денот	7	2	де,нот
ред	7	1
другите	7	3	дру,ги,те
Крстин	7	1
воздух	7	2	воздух
гласот	7	2	гла,сот
деца	7	2	де,ца
рацете	7	3	ра,це,те
стана	7	2	ста,на
мостот	7	2	мост,от
снема	7	2	сне,ма
војниците	7	4	вој,ни,ци,те
луле	7	2	лу,ле
минути	7	3	ми,ну,ти
јаде	7	2	ја,де
смее	7	2	сме,е
простор	7	2	простор
бунарот	7	3	бу,на,рот
гледа	7	2	гле,да
креветот	7	3	кре,ве,тот
лубеница	7	4	лу,бе,ни,ца
дожд	7	1
начин	7	2	на,чин
лица	7	2	ли,ца
пријател	7	3	при,ја,тел
постои	7	3	пост,о,и
држава	7	2	држа,ва
другари	6	3	дру,га,ри
велам	6	2	ве,лам
одам	6	2	о,дам
каменот	6	3	ка,ме,нот
стори	6	2	сто,ри
било	6	2	би,ло
воздухот	6	3	воздух,от
сонува	6	3	со,ну,ва
Бојана	6	3	Бо,ја,на
веќе	6	2	веќе
замина	6	3	за,ми,на
излезе	6	3	из,ле,зе
види	6	2	ви,ди
мисли	6	2	ми,сли
а	6	1
народот	6	3	на,ро,до,т
Павле	6	2	Пав,ле
светлината	6	4	све,тли,на,та
да	6	1
времето	6	3	вре,ме,то
еднаш	6	2	е,днаш
жив	6	1
чекор	6	2	че,кор
телото	6	3	те,ло,то
сонце	6	2	сон,це
дворот	6	2	дво,рот
работата	6	4	ра,бо,та
пари	6	2	па,ри
даде	6	2	да,де
насмевка	6	3	нас,ме,вка
уста	6	2	у,ста
усни	6	2	ус,ни
патот	6	2	па,тот
надеж	6	2	на,де,ж
исчезна	6	3	ис,че,зна
тело	6	2	те,ло
сеќавање	6	4	сеќа,вање
тремот	6	2	тре,мот
градината	6	4	гра,ди,на,та
ноќта	6	2	ноќ,та
сонот	6	2	со,нот
забележи	6	4	за,бе,ле,жи
јазикот	6	3	ја,зикот
крајот	6	2	крај,от
стариот	6	3	ста,ри,от
љубов	6	2	љу,бов
Адела	6	3	А,де,ла
прашања	6	3	пра,шања
прстите	6	2	пр,сти,те
страни	6	2	стра,ни
Магден	6	2	Маг,ден
нозете	6	3	но,зе,те
војска	6	2	вој,ска
публиката	6	4	пу,бли,ка,та
писател	6	3	писа,тел
Марија	6	3	Ма,ри,ја
видат	5	2	ви,дат
прости	5	2	про,сти
река	5	2	ре,ка
видел	5	2	ви,дел
гости	5	2	го,сти
сте	5	1
името	5	3	и,ме,но
чоек	5	2	чо,ек
шишето	5	3	ши,ше,то
лесно	5	2	ле,сно
го	5	1
смрт	5	0
други	5	2	дру,ги
планина	5	3	пла,ни,на
камбана	5	3	кам,ба,на
едно	5	2	е,дно
долу	5	2	до,лу
живеам	5	3	жи,ве,ам
ум	5	1
каде	5	2	ка,де
трева	5	2	tre,va
праша	5	2	пра,ша
лик	5	1
среќа	5	2	среќа
ме	5	1
една	5	2	е,дна
малку	5	2	мал,ку
засекогаш	5	4	за,се,ко,гаш
гледаше	5	3	гле,да,ше
друга	5	2	дру,га
вино	5	2	ви,но
времиња	5	3	вре,миња
Грција	5	2	Гр,ци,ја
нозе	5	2	но,зе
другарите	5	4	дру,га,ри,те
чувство	5	2	чу,вство
знаеш	5	2	зна,еш
Бел	5	1
натаму	5	3	на,та,му
мили	5	2	ми,ли
имам	5	2	и,мам
може	5	2	мо,же
среќен	5	2	среќен
подот	5	2	по,дот
ја	5	1
улицата	5	4	у,ли,ца,та
никого	5	3	ни,ко,го
ѕидот	5	2	ѕи,дот
коса	5	2	ко,са
зошто	5	2	зо,што
И	5	1
добро	5	2	до,бро
улица	5	3	у,ли,ца
младоженецот	5	5	мла,до,же,не,цот
допаѓа	5	3	до,паѓа
друг	5	1
планината	5	4	пла,ни,на,та
птици	5	2	пти,ци
дрво	5	1
дрвце	5	1
душа	5	2	ду,ша
гради	5	2	га,ди
Сликарот	5	3	Сли,ка,рот
миг	5	1
млеко	5	2	мле,ко
сама	5	2	са,ма
прозорец	5	3	про,зо,рец
приказна	5	3	при,каз,на
шепот	5	2	ше,пот
соништата	5	4	со,ни,штата
сите	5	2	си,те
водата	5	3	во,да,та
места	5	2	ме,ста
гласови	5	3	гла,со,ви
успеа	5	3	у,спе,а
некаде	5	3	не,ка,де
мажот	5	2	ма,жот
сврте	5	1
долината	5	4	до,ли,на,та
војник	5	2	вој,ник
кошула	5	3	ко,шу,ла
младоста	5	3	мла,доста
Аристотел	5	4	А,ри,сто,тел
минатото	5	4	ми,на,то,то
Породин	5	3	По,ро,дин
Каде	5	2	Ка,де
ќерка	4	2	ќер,ка
челад	4	2	че,лад
сестра	4	2	сес,тра
младите	4	3	мла,ди,те
Божигроб	4	3	Бо,жи,гроб
овде	4	2	ов,де
гледам	4	2	гле,дам
Силјан	4	2	Сил,јан
штркои	4	2	штр,ко,и
јазик	4	2	ја,зик
домаќинот	4	4	до,ма,ќи,но,тот
небо	4	2	не,бо
нога	4	2	но,га
село	4	2	се,ло
камбанаријата	4	6	кам,ба,на,ри,ја,та
облик	4	2	об,лик
здивот	4	2	здви,от
прави	4	2	пра,ви
местото	4	3	ме,сто,то
остави	4	3	о,ста,ви
газда	4	2	газ,да
Темо	4	2	Te,mo
Како	4	2	Ка,ко
маж	4	1
неизвесност	4	4	не,из,ве,сност
надежи	4	3	на,де,жи
господ	4	2	гос,под
денови	4	3	де,но,ви
поздрави	4	3	позд,ра,ви
песни	4	2	пе,сни
Езеро	4	3	Е,зе,ро
образите	4	4	о,бра,зите
чело	4	2	че,ло
врска	4	1
разговори	4	4	раз,го,во,ри
одговори	4	4	од,го,во,ри
Сандрета	4	3	Сан,дре,та
разбира	4	3	раз,би,ра
застана	4	3	за,ста,на
заплака	4	3	за,пла,ка
молк	4	1
но	4	1
насмеан	4	3	на,сме,ан
љуби	4	2	љу,би
плачам	4	2	пла,чам
вистина	4	3	ви,сти,на
роднини	4	3	род,ни,ни
бара	4	2	ба,ра
маки	4	2	ма,ки
претставата	4	4	пре,ста,ва,та
уметноста	4	4	у,ме,носта
разговорот	4	4	раз,го,вор,от
природата	4	4	при,ро,да,та
мрак	4	1
заби	4	2	за,би
синко	4	2	син,ко
порта	4	2	пор,та
Доксим	4	2	Док,сим
исчекување	4	5	ис,че,ку,вање
утре	4	2	у,тре
победа	4	3	по,бе,да
смеа	4	2	сме,а
младост	4	2	мла,дост
слабост	4	2	слаб,ост
играта	4	3	и,гра,та
кратко	4	2	кра,тко
најде	4	2	најде
многу	4	2	мно,гу
салата	4	3	са,ла,та
уши	4	2	у,ши
познава	4	3	поз,на,ва
ѕидовите	4	4	ѕи,до,ви,те
Трифуне	4	3	Три,фу,не
невестата	4	4	не,ве,ста,та
дом	4	1
лошо	4	2	ло,шо
заминување	4	5	за,ми,ну,ва,ње
сами	4	2	са,ми
тишината	4	4	ти,ши,на,та
девојка	4	3	де,вој,ка
самата	4	3	са,ма,та
С	4	0
масло	4	2	ма,сло
мачка	4	2	мач,ка
ветер	4	2	ве,тер
потоа	4	3	по,то,а
важно	4	2	важ,но
обично	4	3	о,би,чно
облека	4	3	о,бле,ка
живее	4	3	жи,вее
шумата	4	3	шу,ма,та
платното	4	3	плат,но
прашуваше	4	4	пра,шу,ва,ше
оттаму	4	3	от,та,му
виде	4	2	ви,де
слики	4	2	сли,ки
другачка	4	3	дру,га,чка
двајцата	4	3	двај,ца,та
другата	4	3	дру,го,та
сакаш	4	2	са,каш
сакаат	4	3	са,каат
двајца	4	2	двај,ца
мама	4	2	ма,ма
мори	4	2	мо,ри
оџата	4	3	оџа,та
убава	4	3	у,ба,ва
солзите	4	3	сол,зи,те
следи	4	2	сле,ди
цигара	4	3	ци,га,ра
високо	4	3	ви,со,ко
природа	4	3	при,ро,да
внимание	4	4	вни,ма,ние
Милена	4	3	 Ми,ле,на
тилот	4	2	ти,лот
дрвцето	4	2	дрв,це,то
дупката	4	3	ду,пка,та
мува	4	2	му,ва
добиците	4	4	до,биците
фотографијата	4	6	фо,то,гра,фи,ја,та
детството	4	3	де,тството
Хари	4	2	Ха,ри
народ	4	2	на,род
просторот	4	3	про,стор,от
прсти	4	1
часа	4	2	ча,ра
светлина	4	3	свет,ли,на
мориња	4	3	мо,ри,ња
шапката	4	3	шап,ка,та
соговорникот	4	5	со,гово,рни,кот
чуварот	4	3	чу,ва,рот
шаторот	4	3	ша,то,рот
чудо	4	2	чу,до
соништа	4	3	со,ниш,та
управа	4	3	управа
починка	4	3	по,чин,ка
џинот	4	2	џи,нот
Шејка	4	2	Шеј,ка
Тибетанец	4	4	Ти,бе,та,нец
таванот	4	3	та,ван,от
вистината	4	4	ви,сти,на,та
одговор	4	3	од,го,вор
сцената	4	3	сце,на,та
мудрост	4	2	муд,рост
Силјане	3	3	Сил,ја,не
Чуле	3	2	Чу,ле
мака	3	2	ма,ка
аџилак	3	3	аџи,лак
трага	3	2	тра,га
поле	3	2	по,ле
ливада	3	3	ли,ва,да
најдат	3	2	нај,дат
камења	3	3	ка,ме,ња
видиш	3	2	ви,диш
нашла	3	2	нашла
гледаш	3	2	гле,даш
чедо	3	2	че,до
загина	3	3	за,ги,на
смири	3	2	сми,ри
невеста	3	3	не,вес,та
разбуди	3	3	раз,бу,ди
вака	3	2	ва,ка
Димитри	3	3	Ди,ми,три
двор	3	1
задача	3	3	за,да,ча
убавина	3	4	у,ба,ви,на
допре	3	2	доп,ре
гори	3	2	го,ри
шум	3	1
никогаш	3	3	ни,ко,гаш
аргатин	3	3	ар,га,тин
правец	3	2	пра,вец
униформа	3	4	у,ни,фор,ма
полошо	3	3	по,ло,шо
треба	3	2	тре,ба
насмевна	3	3	нас,ме,вна
тие	3	2	ти,е
печат	3	2	пе,чат
гроб	3	1
слободата	3	4	сло,бо,да,та
извика	3	3	из,ви,ка
стопан	3	2	сто,пан
спомени	3	3	спо,ме,ни
умор	3	2	у,мор
земји	3	2	зем,ји
срца	3	1
песната	3	3	пес,на,та
рамо	3	2	ра,мо
молчи	3	2	мол,чи
дава	3	2	да,ва
дена	3	2	де,на
пареа	3	3	па,ре,а
прошепоти	3	4	про,ше,по,ти
косата	3	3	ко,са,та
цел	3	1
порано	3	3	по,ра,но
враќање	3	3	вра,ќа,ње
бакна	3	2	бак,на
Митрета	3	3	Ми,тре,та
сила	3	2	си,ла
смееја	3	3	сме,е,ја
Врбјани	3	2	Врбја,ни
вечерва	3	3	ве,чер,ва
жали	3	2	жа,ли
нагоре	3	3	на,го,ре
снегот	3	2	сне,гот
најдеме	3	3	нај,де,ме
јаве	3	2	ја,ве
Бегај	3	2	Бе,гај
толку	3	2	тол,ку
мислите	3	3	ми,слите
задоволство	3	4	за,до,вол,ство
мракот	3	2	мрак,от
молчеше	3	3	мол,че,ше
вратам	3	2	вра,там
кажеш	3	2	ка,жеш
барате	3	3	ба,ра,те
снег	3	1
темнината	3	4	тем,ни,', 
расчувствувано	3	5	ра,чув,сту,ва,но
плачење	3	3	пла,че,ње
крвта	3	1
радоста	3	3	ра,доста
убаво	3	3	у,ба,во
гледав	3	2	гле,дав
чула	3	2	чу,ла
лаги	3	2	ла,ги
води	3	2	во,ди
говори	3	3	го,во,ри
театарот	3	4	те,а,тар,от
автомобил	3	4	ав,то,мо,бил
Охрид	3	2	Ох,рид
иднината	3	4	ид,ни,на,та
одајата	3	4	о,да,ја,та
минато	3	3	ми,на,то
прашува	3	3	пра,шу,ва
положба	3	3	по,ло,жба
горе	3	2	го,ре
Ништо	3	2	Ниш,то
Танета	3	3	Та,не,та
насекаде	3	4	на,се,ка,де
дупка	3	2	дуп,ка
задушува	3	4	за,ду,шу,ва
одговорив	3	4	од,го,вор,ив
парите	3	3	па,ри,те
воденицата	3	5	во,де,ни,ца,та
станува	3	3	ста,ну,ва
кариера	3	4	ка,ри,е,ра
мишка	3	2	миш,ка
улога	3	3	у,ло,га
жртва	3	1
заборави	3	4	за,бо,ра,ви
далеку	3	3	да,ле,ку
мувите	3	3	му,ви,те
чашата	3	3	ча,ша,та
вие	3	2	ви,е
познаваат	3	4	поз,на,ва,ат
можам	3	2	мо,жам
служба	3	2	служ,ба
тргнав	3	1
моите	3	3	мои,те
челото	3	3	че,ло,то
срам	3	1
војникот	3	3	вој,никот
панталоните	3	5	пан,та,ло,ни,те
оро	3	2	о,ро
падна	3	2	пад,на
солза	3	2	сол,за
никој	3	2	ни,кој
караулата	3	5	ка,ра,у,ла,та
магла	3	2	маг,ла
желби	3	2	же,лби
столовите	3	4	сто,ло,ви,те
гледаат	3	3	гле,даат
попладне	3	3	поп,лад,не
каже	3	2	ка,же
сакате	3	3	са,ка,те
маса	3	2	ма,са
Париз	3	2	Па,риз
дрен	3	1
другар	3	2	дру,гар
клавирот	3	3	кла,ви,рот
тивко	3	2	ти,вко
свири	3	2	сви,ри
снагата	3	3	сна,га,та
тајна	3	2	тај,на
повторно	3	3	по,пов,тор,но
смртта	3	1
приближува	3	4	при,бли,жу,ва
верувам	3	3	вер,у,вам
сериозно	3	4	се,ри,оз,но
бездна	3	2	без,дна
излегов	3	3	из,ле,гов
знаете	3	3	зна,е,те
мир	3	1
состојба	3	3	состој,ба
подобро	3	3	по,доб,ро
сликата	3	3	сли,ка,та
ходник	3	2	ход,ник
око	3	2	о,ко
треска	3	2	трес,ка
прегратка	3	3	пре,грат,ка
ѝ	3	0
допир	3	2	до,пир
сакаше	3	3	са,ка,ше
девојки	3	3	де,во,јки
тринаесет	3	4	три,на,е,сет
чека	3	2	че,ка
долга	3	2	до,лга
Игор	3	2	И,гор
сочувство	3	3	со,чув,ство
сеќавањето	3	5	сеќа,вање
кафеанчето	3	5	ка,фе,ан,че,то
годините	3	4	го,ди,ни,те
змија	3	2	зми,ја
доверба	3	3	до,ве,рба
доцна	3	2	доц,на
измамници	3	4	из,ма,мни,ци
едноставно	3	4	ед,но,став,но
тројца	3	2	тро,јца
секогаш	3	3	секој,дан,се,ка,жа
караа	3	3	ка,раа
Бранка	3	2	Бран,ка
изглед	3	2	из,глед
насмевнува	3	4	на,сме,ву,ва
сопруг	3	2	соп,руг
сфаќа	3	2	сфаќа
замине	3	3	за,ми,не
погледне	3	3	по,глед,не
пердуви	3	3	пер,ду,ви
скалите	3	3	ска,ли,те
минуваа	3	4	ми,ну,ваа
посилно	3	3	по,си,лно
кого	3	2	ко,го
студии	3	3	сту,ди,и
ѕвезди	3	2	ѕве,зди
погледот	3	3	пог,ле,дот
Паднат	3	2	Пад,нат
потреби	3	3	по,тре,би
јави	3	2	ја,ви
Димоски	3	3	Ди,мос,ки
мислеше	3	3	мис,ле,ше
јадење	3	3	ја,дење
сенка	3	2	се,нка
столот	3	2	сто,лот
темница	3	3	те,мни,ца
правта	3	2	прав,та
дланка	3	2	длан,ка
конференција	3	5	кон,фер,ен,ци,ја
Итрина	3	3	И,три,на
жилите	3	3	жи,ли,те
секретар	3	3	се,кре,тар
тесно	3	2	те,сно
црквата	3	2	црква,та
муви	3	2	му,ви
приказни	3	3	при,каз,ни
возбуда	3	3	воз,бу,да
Панде	3	2	Пан,де
надолу	3	3	на,до,лу
умот	3	2	у,мот
бандерите	3	4	бан,де,ри,те
момче	3	2	мом,че
ѕидови	3	3	ѕи,до,ви
погледи	3	3	пог,ле,ди
ползавки	3	3	пол,за,вки
држави	3	2	држа,ви
ушите	3	3	у,ши,те
умре	3	2	умре
морето	3	3	мо,ре,то
литература	3	5	ли,те,ра,ту,ра
црква	3	1
сакам	3	2	са,кам
книги	3	2	кни,ги
маските	3	3	мас,ки,те
дела	3	2	де,ла
завесата	3	4	за,ве,са,та
океанот	3	4	о,ке,ан,от
Ресен	3	2	Ре,сен
плоштадот	3	3	пло,штад,от
појава	3	3	по,ја,ва
пајтонџијата	3	5	пај,тон,џи,ја,та
надежта	3	3	на,де,жда
големина	3	4	го,ле,ми,на
автобус	3	3	ав,то,бус
граници	3	3	гра,ни,ци
Скопје	3	2	Ско,пје
Ацко	3	2	Ац,ко
бањата	3	3	бања,та
јавето	3	3	ја,ве,то
материјал	3	4	ма,те,ри,јал
годината	3	4	го,ди,на,та
желбите	3	3	же,лби,те
був	3	1
кафе	3	2	ка,фе
празнината	3	4	пра,зни,на
купатилото	3	5	ку,па,ти,ло
зеленило	3	4	зе,ле,ни,ло
девојчето	3	4	де,во,јче,то
листови	3	3	лис,то,ви
растеше	3	3	рас,те,ше
Јок	3	1
сведок	3	2	све,док
одговорам	3	4	од,го,ворам
Идризово	3	4	Ид,ри,цо,во
хартијата	3	4	ха,р,ти,ја,та
прашувам	3	3	пра,шу,вам
маглата	3	3	маг,ла,та
десно	3	2	де,сно
ливчиња	3	3	лив,чиња
решетките	3	4	ре,ше,тет,ки
Шлип	3	1
болен	3	2	бо,лен
запре	3	2	за,пре
лега	3	2	ле,га
како	3	2	ка,ко
мајката	3	3	мај,ка,та
ситуација	3	5	си,ту,а,ци,ја
најдобро	3	3	нај,до,бро
Дурда	3	2	Дур,да
говорницата	3	5	го,вор,ни,ца,та
Трајан	3	2	Тра,јан
молчеа	3	3	мол,че,а
ликеја	3	3	ли,кеја
Лилјана	3	3	Ли,ља,на
Рахманинов	3	4	Рах,ма,ни,нов
куриозитет	3	5	ку,ри,оз,и,тет
смеат	3	2	сме,ат
Исаковски	3	4	И,са,ков,ски
О	3	1
педер	3	2	пе,дер
Чен	3	1
Велко	2	2	Вел,ко
јадеше	2	3	ја,деше
леб	2	1
избегал	2	3	и,збе,гал
суо	2	2	су,о
глад	2	1
сестро	2	2	сес,тро
домаќинко	2	4	до,маќ,ин,ко
јадат	2	2	ја,дат
пустелија	2	4	пус,те,ли,ја
Коњари	2	3	Коња,ри
најдит	2	2	нај,дит
зборувам	2	3	зу,бо,ву,вам
нашол	2	2	на,шол
Господи	2	3	Гос,по,ди
добровечер	2	4	доб,ро,ве,чер
Бог	2	1
знаиш	2	2	зна,иш
излегол	2	3	из,ле,гол
сет	2	1
Силјана	2	3	Сил,ја,на
веруаш	2	3	ве,ру,аш
ваш	2	1
часот	2	2	ча,сот
закопале	2	4	за,ко,па,ле
денеска	2	3	де,нес,ка
гајле	2	2	гај,ле
помагал	2	3	по,ма,гал
облаци	2	3	о,бла,ци
идат	2	2	и,дат
седи	2	2	се,ди
слушам	2	2	слу,шам
телињата	2	4	те,ли,ња,та
орат	2	2	о,рат
волојте	2	3	во,лој,те
нивата	2	3	ни,ва,та
ногата	2	3	но,га,та
згреши	2	2	згре,ши
сторат	2	2	стор,ат
манастирот	2	4	ма,на,сти,рот
штркојте	2	2	штр,кој,те
џенгот	2	2	џе,нгот
селаните	2	4	се,ла,ни,те
честија	2	3	че,сти,ја
пушти	2	2	пуш,ти
поверуат	2	4	по,ве,ру,ат
биди	2	2	би,ди
клепало	2	3	кле,па,ло
купи	2	2	ку,пи
заѕвони	2	3	за,зво,ни
предмети	2	3	пред,ме,ти
замолчеа	2	4	за,мол,чеа
хоризонтот	2	4	хо,ри,зон,тот
подалеку	2	4	по,да,ле,ку
дојден	2	2	дој,ден
лето	2	2	ле,то
поинаку	2	4	по,и,на,ку
топол	2	2	то,пол
калта	2	2	кал,та
радуваат	2	4	ра,ду,ва,ат
другарка	2	3	дру,гар,ка
милост	2	2	ми,лост
звуци	2	2	зву,ци
дише	2	2	ди,ше
жар	2	1
имало	2	3	и,ма,ло
биле	2	2	би,ле
Срамота	2	3	Срам,о,та
кило	2	2	ки,ло
судбина	2	3	суд,би,на
заблуди	2	3	за,блу,ди
очајуваше	2	5	оча,ју,ваше
занает	2	3	за,на,ет
пропаѓа	2	3	про,па,ѓа
чесен	2	2	че,сен
книгите	2	3	кни,ги,те
извлечат	2	3	из,влеч,ат
негово	2	3	не,го,во
јад	2	1
прегледот	2	3	пре,глед,от
ребрата	2	3	ре,бра,та
платата	2	3	пла,та
работите	2	4	ра,бо,ти,те
збунет	2	2	збу,не,тет
ракија	2	3	ра,ки,ја
чашката	2	3	чаш,ка,та
тутунот	2	3	ту,ту,нот
решение	2	4	ре,ше,ни,е
буниште	2	3	бу,ниш,те
видиме	2	3	ви,ди,ме
чувам	2	2	чу,вам
Спомен	2	2	Спом,ен
пишува	2	3	пи,шу,ва
првото	2	2	прев,то,во
прочита	2	3	про,чи,та
суштества	2	3	су,штест,ва
Крстана	2	2	Крста,на
села	2	2	се,ла
очекувања	2	5	о,че,ку,ва,ња
побрзо	2	2	побр,зо
печалбари	2	4	пе,чал,ба,ри
најубаво	2	4	нај,у,ба,во
тапо	2	2	та,по
огниште	2	3	ог,ниш,те
туѓина	2	3	туѓи,на
фабрика	2	3	фа,бри,ка
статуа	2	3	ста,ту,а
тажно	2	2	та,жно
мајка	2	2	мај,ка
среќна	2	2	среќ,на
храни	2	2	ха,ни
Кирчо	2	2	Кир,чо
околината	2	5	о,ко,ли,на,та
Св	2	0
напразно	2	3	нап,раз,но
детето	2	3	де,те,то
лекар	2	2	ле,кар
скокна	2	2	скок,на
реката	2	3	ре,ка,та
Митре	2	2	Ми,тре
писмата	2	3	пис,ма,та
успокои	2	4	успо,кои
мисла	2	2	мис,ла
пречека	2	3	пре,че,ка
доближија	2	4	до,бли,жи,ја
запраша	2	3	за,пра,ша
веселба	2	3	ве,сел,ба
гранките	2	3	гран,ки,те
дни	2	1
минаа	2	3	ми,наа
Славеј	2	2	Сла,веј
слобода	2	3	сло,бо,да
посрамотиме	2	5	пос,ра,мо,ти,ме
разбојот	2	3	раз,бо,јот
погачи	2	3	по,га,чи
Крумета	2	3	Кру,ме,та
дечиња	2	3	де,чи,ња
усните	2	3	ус,ни,те
Круме	2	2	Кру,ме
видов	2	2	ви,до,в
дојдам	2	2	дој,дам
другиот	2	3	дру,го,виот
липаше	2	3	ли,па,ше
попарена	2	4	по,па,ре,на
чекање	2	3	че,кање
зимата	2	3	зи,ма,та
патува	2	3	па,ту,ва
Трпе	2	1
Богомила	2	4	Бо,го,ми,ла
мислиш	2	2	ми,слиш
сврти	2	1
чини	2	2	чи,ни
племната	2	3	плем,на,та
ослободи	2	4	ос,ло,бо,ди
најадоа	2	4	на,ја,do,a
одат	2	2	о,дат
прозбори	2	3	про,збо,ри
првпат	2	1
донесам	2	3	до,несам
дојдеме	2	3	дој,де,ме
роднините	2	4	род,ни,ни,те
правевме	2	3	пра,вев,ме
артистка	2	3	ар,тист,ка
чардаци	2	3	чар,да,ци
љубам	2	2	љу,бам
лажам	2	2	ла,жам
плашиш	2	2	па,шиш
вистинско	2	3	ви,стин,ско
Таа	2	2	Та,а
Доста	2	2	До,ста
молкна	2	2	молк,на
чекам	2	2	чекам
утро	2	2	ут,ро
плачеше	2	3	пла,чеше
Кажи	2	2	Ка,жи
кажал	2	2	ка,жал
соблекува	2	4	соб,ле,ку,ва
бандитот	2	3	бан,ди,тот
дотогаш	2	3	до,то,гаш
гајда	2	2	гај,да
бил	2	1
кат	2	1
станот	2	2	ста,нот
неброенипати	2	6	не,бро,е,ни,па,ти
познавав	2	3	поз,на,ва,в
пријатели	2	4	при,ја,те,ли
Морав	2	2	Мо,рав
филмови	2	3	фил,мо,ви
ха	2	1
такви	2	2	та,кви
јасно	2	2	јас,но
говорам	2	3	го,во,рам
вистински	2	3	вис,тин,ски
Никој	2	2	Ни,кој
кој	2	1
повторување	2	5	по,вор,у,ва,ње
туку	2	2	ту,ку
вози	2	2	во,зи
предвидувања	2	5	пре,дви,ду,ва,ња
раскажувања	2	5	рас,ка,жу,ва,ња
сок	2	1
мраз	2	1
цут	2	1
кожа	2	2	ко,жа
магија	2	3	ма,ги,ја
далечините	2	5	да,ле,чи,ни,те
